"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"21544","4738320","Johnson City city, Tennessee",61219,23.6,4058,39.7,1428,"11.6",2538,"34.3",51617,"22","39.08411902",47,38320,"Johnson City",42.924,1,300,0,0,0,0,0,0,0,1146,1,"D",0,38320,4479,7044,38.87009,47,1588,15000,0,0,0,0,39.08411902,6.62866103660628,1426.21843257851,24.5021970303337,0,0,0,0,0,1
"21548","4739560","Kingsport city, Tennessee",51810,19.9,1645,28.6,557,"9.9",1420,"51.4",46599,"17.9","25.69292635",47,39560,"Kingsport",47.508,0,0,0,0,0,0,0,0,0,NA,0,"R",0,39560,8790,21372,29.14263,47,NA,0,0,0,0,0,25.69292635,3.17506272920286,1090.55316999242,0,1,0,0,0,0,0
"21551","4740000","Knoxville city, Tennessee",172824,24.6,30745,42.7,2775,"25.1",8316,"38.7",126559,"18.8","30.06037055",47,40000,"Knoxville",98.558,2,120,4,0,0,1,1,3,1,1147,11,"D",0,40000,44098,52150,45.81706,47,1589,30000,0,0,0,1,30.06037055,17.789774568347,1753.52584265103,17.3587001805305,0,0,0.231449335740406,0,0.0578623339351016,1
"21561","4741200","La Vergne city, Tennessee",33447,11.8,6760,12.7,835,"0.8",6478,"26.8",18813,"7","18.62179648",47,41200,"La Vergne",24.777,0,0,0,0,0,0,0,0,0,NA,0,"R",0,41200,4877,4006,54.90262,47,NA,0,0,0,0,0,18.62179648,20.2110802164619,1349.92129797796,0,1,0,0,0,0,0
"21602","4748000","Memphis city, Tennessee",640637,27.4,402402,33.1,11064,"16.3",42144,"43",175500,"11.2","25.03132232",47,48000,"Memphis",315.045,4,90,10,0,0,4,4,5,2,1149,13,"D",0,48000,198902,58613,77.239,47,1595,55000,1,1,1,1,25.03132232,62.8127941408317,2033.4777571458,8.58520503811051,0,0,0.156094637056555,0,0.0624378548226219,1
"21627","4751560","Murfreesboro city, Tennessee",109741,17.6,17496,26.1,3942,"26.8",5807,"31.5",79496,"14","37.57272115",47,51560,"Murfreesboro",54.952,0,0,0,0,0,0,0,0,0,1150,2,"R",0,51560,12815,16839,43.21508,47,1598,30000,0,0,0,0,37.57272115,15.9429930472658,1997.03377493085,27.3370937024448,1,0,0,0,0,0
"21628","4752006","Nashville-Davidson metropolitan government (balance), Tennessee",601882,19.2,168775,28.2,19259,"15.8",62201,"33.7",338197,"12","36.27608968",47,52006,"Nashville-Davidson metropolitan government (balance)",475.029,3,395,2,0,0,1,1,5,0,1151,6,"D",0,52006,149461,92607,61.74339,47,1599,24000,2,1,1,0,36.27608968,28.0412107356591,1267.04264371228,3.98749256498782,0,0,0.0332291047082318,0,0.0166145523541159,1
"21719","4769420","Smyrna town, Tennessee",41683,14.2,5365,14.9,1395,"15.1",3774,"27.8",30245,"12.1","23.67685919",47,69420,"Smyrna",29.757,0,0,0,0,0,0,0,0,0,NA,0,"I",0,69420,7441,12373,37.55425,47,NA,0,0,0,0,0,23.67685919,12.8709545858024,1400.77964848607,0,0,0,0,0,0,0
"21726","477000","Tucson city, Arizona",503216,25.1,23935,29.1,13877,"28.8",214784,"30.8",232002,"18.7","25.53636773",4,77000,"Tucson",226.658,2,70,11,1,0,2,2,5,0,NA,0,"D",0,77000,109002,72455,60.07043,4,63,30000,0,0,0,0,25.53636773,4.75640679151696,2220.15547653293,5.96165463737242,0,0.0198721821245747,0.218594003370322,0,0.0397443642491495,1
"21733","4770580","Spring Hill city, Tennessee",31234,4.1,1507,0,328,"21",2230,"20.9",26770,"2.7","42.98783657",47,70580,"Spring Hill",27.077,0,0,0,0,0,0,0,0,0,NA,0,"R",0,70580,1772,4481,28.3384,47,NA,0,0,0,0,0,42.98783657,4.82487033361081,1153.52513203087,0,1,0,0,0,0,0
"21809","4801000","Abilene city, Texas",108414,19.8,9353,35,2146,"31.1",27525,"24.7",67395,"15.1","24.33450415",48,1000,"Abilene",105.927,0,0,0,0,0,0,0,1,0,NA,0,"R",0,1000,11354.73,27821.38,28.98382,48,1606,7500,0,0,0,0,24.33450415,8.62711457929788,1023.47843326064,6.91792572914937,1,0,0,0,0,0
"21828","4801924","Allen city, Texas",89261,5.9,7190,17.2,12000,"3.2",9604,"14.4",57545,"3.4","52.77174596",48,1924,"Allen",26.285,0,0,0,0,0,0,0,0,0,NA,0,"R",0,1924,12098.71,20208.17,37.44934,48,NA,0,0,0,0,0,52.77174596,8.05502963220219,3395.89119269545,0,1,0,0,0,0,0
"21839","4803000","Amarillo city, Texas",192718,17.1,12748,35.8,6794,"17.9",58163,"27.7",111169,"9.7","22.63735542",48,3000,"Amarillo",97.929,0,0,1,0,0,0,0,0,0,1162,1,"R",0,3000,15124.99,46811.21,24.42028,48,1609,15000,0,0,0,0,22.63735542,6.61484656337239,1967.93595359904,7.78339335194429,1,0,0.0518892890129619,0,0,0
"21865","4804000","Arlington city, Texas",371141,16.9,73368,20.5,26257,"15.1",106627,"25.3",158908,"10","28.95248282",48,4000,"Arlington",95.882,0,0,1,0,0,0,0,1,1,NA,0,"R",0,4000,59292.38,65411.68,47.54647,48,1610,30000,0,0,0,1,28.95248282,19.7682282474855,3870.80995390167,8.08318132461787,1,0,0.0269439377487262,0,0,0
