"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"15","100820","Alabaster city, Alabama",30613,11.1,4061,11.6,124,"0",3524,"47.9",22381,"5.4","33.99255823",1,820,"Alabaster",23.4,0,0,0,0,0,0,0,0,0,NA,0,"R",0,820,3431,9814,25.90411,1,NA,0,0,0,0,0,33.99255823,13.2656061150492,1308.24786324786,0,1,0,0,0,0,0
"36","1021200","Dover city, Delaware",32475,19,13058,24.5,781,"22.2",2898,"22.6",14949,"12.1","29.00828808",10,21200,"Dover",23.148,0,0,0,0,0,0,0,1,1,162,4,"D",0,21200,9741,5243,65.00934,10,307,5000,1,1,0,1,29.00828808,40.2093918398768,1402.92897874546,15.3964588144727,0,0,0,0,0,0
"58","103076","Auburn city, Alabama",52721,31.3,9355,38.6,3569,"21.3",2114,"25.9",36983,"30.8","60.24546635",1,3076,"Auburn",56.807,0,0,0,0,0,0,0,0,0,NA,0,"R",0,3076,8617,12129,41.53572,1,3,30000,0,0,0,0,60.24546635,17.7443523453652,928.072244617741,56.903321257184,1,0,0,0,0,0
"119","107000","Birmingham city, Alabama",205048,31,152536,34.1,1999,"14.3",7239,"38.4",41665,"19.1","23.42095813",1,7000,"Birmingham",149.236,4,112,2,0,0,2,2,2,0,3,10,"D",1,7000,88787,17486,83.54615,1,5,17500,0,0,1,0,23.42095813,74.3903866411767,1373.98482939773,8.5345870235262,0,0,0.097538137411728,0,0.097538137411728,1
"126","1077580","Wilmington city, Delaware",68801,26.1,38280,32.6,746,"7.9",9596,"34.2",19692,"10.2","26.35246613",10,77580,"Wilmington",10.955,0,0,1,1,1,0,1,0,0,165,15,"D",1,77580,27545,3541,88.60902,10,310,7500,0,0,1,0,26.35246613,55.6387261813055,6280.32861706983,10.9010043458671,0,0.145346724611561,0.145346724611561,0.145346724611561,0.145346724611561,0
"173","1150000","Washington city, District of Columbia",599620,18.2,300482,26.5,20585,"16.1",60874,"17.1",208411,"7.4","54.01758736",11,50000,"Washington",61.095,22,48983,8,0,0,5,5,3,0,166,26,"D",1,NA,NA,NA,NA,NA,312,95000,2,1,1,0,54.01758736,50.1120709782862,9814.55110892872,15.8433674660618,0,0,0.133417831293152,0,0.0833861445582202,1
"213","1200410","Alafaya CDP, Florida",85426,12.8,7566,17.1,6918,"18.7",31581,"16.4",37888,"8.8","41.16755707",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,410,18165,13587,57.20899,12,NA,0,0,0,0,0,41.16755707,8.85678833142135,NA,0,0,0,0,0,0,0
"216","1200950","Altamonte Springs city, Florida",41473,10.7,6029,12.9,1150,"6.6",9768,"16.7",23944,"8.2","33.99032144",12,950,"Altamonte Springs",9.013,0,0,2,0,0,0,0,0,0,NA,0,"D",0,950,8887,8010,52.59514,12,NA,0,0,0,0,0,33.99032144,14.5371687603983,4601.46455120382,0,0,0,0.48224145829817,0,0,0
"218","120104","Decatur city, Alabama",54671,18.7,11680,32.6,566,"31.3",7168,"28.4",33776,"11","23.49997309",1,20104,"Decatur",53.238,0,0,0,0,0,0,0,0,0,4,3,"NP",0,20104,7999,14680,35.27051,1,NA,0,0,0,0,0,23.49997309,21.3641601580363,1026.91686389421,0,0,0,0,0,0,0
"227","1201700","Apopka city, Florida",44285,17,9194,25,1597,"20.3",12008,"28",20180,"7.4","27.09932947",12,1700,"Apopka",31.264,0,0,0,0,0,0,0,0,0,NA,0,"D",0,1700,7727,7154,51.92527,12,NA,0,0,0,0,0,27.09932947,20.7609800158067,1416.48541453429,0,0,0,0,0,0,0
"239","1202681","Aventura city, Florida",36794,12.3,1184,37.2,331,"8.8",13150,"12.2",21915,"11.5","51.06199275",12,2681,"Aventura",2.653,0,0,0,0,0,0,0,0,0,NA,0,"D",0,2681,8013,4656,63.24888,12,NA,0,0,0,0,0,51.06199275,3.21791596455944,13868.8277421787,0,0,0,0,0,0,0
"284","1207300","Boca Raton city, Florida",85309,10.1,3760,24,2080,"13.4",10314,"15.4",67369,"8.1","52.18137605",12,7300,"Boca Raton",29.193,0,0,3,0,0,0,0,0,0,NA,0,"R",0,7300,21278,20423,51.02516,12,316,35000,0,0,0,0,52.18137605,4.40750682811896,2922.24163326825,41.0273241979158,1,0,0.351662778839278,0,0,0
"287","1207525","Bonita Springs city, Florida",46086,20.1,500,16,697,"11.5",12508,"50.8",32128,"8.4","31.18509972",12,7525,"Bonita Springs",38.578,0,0,1,0,0,0,0,0,0,NA,0,"R",0,7525,6499,10310,38.66381,12,NA,0,0,0,0,0,31.18509972,1.08492817775463,1194.61869459277,0,1,0,0.216985635550927,0,0,0
"290","1207875","Boynton Beach city, Florida",69511,17.7,22691,31.7,1572,"11",8519,"12.7",36219,"10.6","25.2642917",12,7875,"Boynton Beach",16.142,0,0,1,0,0,0,0,0,0,173,2,"R",0,7875,18509,8838,67.68201,12,NA,0,0,0,0,0,25.2642917,32.6437542259498,4306.21979928138,0,1,0,0.143862122541756,0,0,0
"291","1207950","Bradenton city, Florida",49543,18.8,8645,32.5,456,"26.3",9364,"28.9",30769,"11.8","20.8339271",12,7950,"Bradenton",14.074,0,0,2,0,0,0,0,3,0,NA,0,"R",0,7950,10365,9217,52.93126,12,NA,0,0,0,0,0,20.8339271,17.4494883232747,3520.17905357397,0,1,0,0.403689724078074,0,0,0
"294","1208150","Brandon CDP, Florida",103603,11.5,15940,11.9,3714,"8.1",25237,"17.7",55450,"8.6","27.73866758",12,8150,"Brandon",27.654,0,0,2,0,0,1,1,0,0,NA,0,NA,NA,8150,21374,20780,50.70456,12,NA,0,0,0,0,0,27.73866758,15.3856548555544,3746.40196716569,0,0,0,0.193044602955513,0,0.0965223014777564,0
"308","1209415","Buenaventura Lakes CDP, Florida",30211,16.7,3663,16.5,712,"2.2",21304,"19.2",4498,"8.5","11.1599297",12,9415,"Buenaventura Lakes",5.578,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,9415,7374,2117,77.69466,12,NA,0,0,0,0,0,11.1599297,12.1247227830923,5416.09896020079,0,0,0,0,0,0,0
"321","1210275","Cape Coral city, Florida",160755,13.7,6784,20.6,2649,"11.5",29768,"23.6",119436,"10.7","21.06931456",12,10275,"Cape Coral",105.671,0,0,1,0,0,0,0,1,0,NA,0,"D",0,10275,25332,30733,45.18327,12,NA,0,0,0,0,0,21.06931456,4.22008646698392,1521.27830719876,0,0,0,0.0622064632515318,0,0,0
"324","1210825","Carrollwood CDP, Florida",34231,10.2,3459,10.8,1616,"11.6",9105,"15.9",19329,"7","42.27716983",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,10825,8448,8803,48.97107,12,NA,0,0,0,0,0,42.27716983,10.1048756974672,NA,0,0,0,0,0,0,0
"337","121184","Dothan city, Alabama",66592,19.2,21889,36.7,812,"3.1",1874,"26.9",40765,"9.3","24.3147538",1,21184,"Dothan",89.393,0,0,0,0,0,0,0,1,1,5,2,"R",0,21184,8428,16492,33.82022,1,NA,0,0,0,0,1,24.3147538,32.8703147525228,744.93528576063,0,1,0,0,0,0,0
"351","1212875","Clearwater city, Florida",107667,16.1,11447,31.6,2806,"25.6",14288,"29.8",76811,"10.6","27.96850751",12,12875,"Clearwater",25.486,0,0,3,0,0,0,0,0,0,NA,0,"R",0,12875,23499,19517,54.62851,12,NA,0,0,0,0,0,27.96850751,10.6318556289299,4224.554657459,0,1,0,0.278636908244866,0,0,0
"360","1213275","Coconut Creek city, Florida",55268,8.7,7439,11.4,2502,"5.3",13015,"11.6",31363,"7","33.93703627",12,13275,"Coconut Creek",11.812,0,0,0,0,0,0,0,1,1,NA,0,"D",0,13275,14196,6963,67.09202,12,NA,0,0,0,0,1,33.93703627,13.459868278208,4678.97053843549,0,0,0,0,0,0,0
"366","1214125","Cooper City city, Florida",32039,5.3,1997,9.5,2037,"2.3",8707,"8.3",18805,"3.9","41.75554507",12,14125,"Cooper City",8.038,0,0,0,0,0,0,0,0,0,NA,0,"D",0,14125,8675,6330,57.81406,12,NA,0,0,0,0,0,41.75554507,6.23302849651987,3985.94177656133,0,0,0,0,0,0,0
"367","1214250","Coral Gables city, Florida",44493,8.4,1289,20.3,1005,"11.8",25727,"8.8",16498,"7","62.11579044",12,14250,"Coral Gables",12.927,1,50,0,0,0,0,0,0,0,NA,0,"R",0,14250,10910,11787,48.06803,12,NA,0,0,0,0,0,62.11579044,2.89708493470883,3441.86586214899,0,1,0,0,0,0,1
"368","1214400","Coral Springs city, Florida",124904,10.1,25886,19.4,5167,"5.9",30643,"12",60042,"5.4","35.11176559",12,14400,"Coral Springs",23.731,0,0,0,0,0,0,0,0,0,NA,0,"D",0,14400,32333,19079,62.88999,12,NA,0,0,0,0,0,35.11176559,20.7247165823352,5263.32645063419,0,0,0,0,0,0,0
"373","1214895","Country Club CDP, Florida",48219,19.6,6435,26.4,804,"41.8",37845,"18.3",4504,"19.5","26.34236179",12,14895,"Country Club",3.72,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,14895,7840,4517,63.44582,12,NA,0,0,0,0,0,26.34236179,13.3453617868475,12962.0967741935,0,0,0,0,0,0,0
"385","1215968","Cutler Bay town, Florida",42218,11,5630,6.6,726,"1.2",21605,"14.7",13868,"8.4","30.40289108",12,15968,"Cutler Bay",9.027,0,0,0,0,0,0,0,0,0,NA,0,"D",0,15968,6750,4583,59.56058,12,NA,0,0,0,0,0,30.40289108,13.3355440807239,4676.85831394705,0,0,0,0,0,0,0
"391","1216335","Dania Beach city, Florida",30340,24.1,7310,38.4,635,"17.2",6626,"22.5",15421,"18.2","21.34699441",12,16335,"Dania Beach",8.12,0,0,0,0,0,0,0,0,0,NA,0,"R",0,16335,7280,3013,70.72768,12,NA,0,0,0,0,0,21.34699441,24.0936058009229,3736.45320197044,0,1,0,0,0,0,0
"393","1216475","Davie town, Florida",94465,12.5,8879,20.6,4872,"21.6",30437,"12",49088,"10.4","33.06374056",12,16475,"Davie",34.78,0,0,0,0,0,0,0,0,0,NA,0,"D",0,16475,21613,15641,58.01525,12,NA,0,0,0,0,0,33.06374056,9.39924839887789,2716.07245543416,0,0,0,0,0,0,0
"395","1216525","Daytona Beach city, Florida",58002,31.9,19621,44.2,1582,"41.2",4537,"46.3",30841,"21.6","19.60841684",12,16525,"Daytona Beach",58.487,0,0,1,0,0,0,0,1,0,177,4,"D",1,16525,18371,7574,70.80748,12,321,22500,0,0,1,0,19.60841684,33.8281438571084,991.707558944723,38.7917658011793,0,0,0.172407848005241,0,0,0
"398","1216725","Deerfield Beach city, Florida",76148,20.3,18826,30.8,1242,"11.4",12533,"25",41924,"14.4","23.07596224",12,16725,"Deerfield Beach",15.087,0,0,0,0,0,0,0,0,0,178,2,"R",0,16725,18189,9221,66.35899,12,NA,0,0,0,0,0,23.07596224,24.7229080212218,5047.25922980049,0,1,0,0,0,0,0
"403","1217100","Delray Beach city, Florida",62322,18,17175,35.4,1253,"7.5",7115,"18.2",36001,"9.9","33.77554679",12,17100,"Delray Beach",15.682,0,0,1,1,1,0,1,1,0,179,1,"D",0,17100,18151,9198,66.36806,12,NA,0,0,0,0,0,33.77554679,27.5584865697507,3974.11044509629,0,0,0.160456981483264,0.160456981483264,0.160456981483264,0.160456981483264,0
"404","1217200","Deltona city, Florida",85442,16.2,8841,25.7,804,"13.6",26298,"20.3",48382,"12.5","14.89227866",12,17200,"Deltona",37.886,0,0,0,0,0,0,0,1,1,NA,0,"R",0,17200,19993,13562,59.58277,12,NA,0,0,0,0,1,14.89227866,10.3473701458299,2255.23940241778,0,1,0,0,0,0,0
"410","1217935","Doral city, Florida",49254,10.6,1029,12.4,1950,"10.3",39265,"11.4",6997,"6.2","53.66117709",12,17935,"Doral",13.878,0,0,0,0,0,0,0,0,0,NA,0,"R",0,17935,6994,5727,54.97995,12,NA,0,0,0,0,0,53.66117709,2.08917042270679,3549.07047124946,0,1,0,0,0,0,0
"414","1218575","Dunedin city, Florida",35017,8.3,1140,12.9,647,"15.6",2400,"6.6",30321,"8","29.2301109",12,18575,"Dunedin",10.347,0,0,1,0,0,0,0,1,0,NA,0,"D",0,18575,9313,8815,51.37357,12,NA,0,0,0,0,0,29.2301109,3.2555615843733,3384.2659708128,0,0,0,0.285575577576606,0,0,0
"419","1219206","East Lake CDP, Florida",32275,6.4,343,28.6,940,"7.7",2106,"9.8",28222,"5.8","42.68974145",12,19206,"East Lake",28.792,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,19206,7922,10903,42.08234,12,NA,0,0,0,0,0,42.68974145,1.06274206041828,1120.97110308419,0,0,0,0,0,0,0
"431","1220108","Egypt Lake-Leto CDP, Florida",36716,23.4,3412,20.3,1846,"27.8",21811,"26.2",9780,"18.5","15.41885552",12,20108,"Egypt Lake-Leto",5.906,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,20108,6204,4025,60.65109,12,NA,0,0,0,0,0,15.41885552,9.29295130188474,6216.7287504233,0,0,0,0,0,0,0
"465","1224000","Fort Lauderdale city, Florida",169310,21.2,53268,34.2,2115,"12.9",26568,"25",84838,"11.9","34.07300234",12,24000,"Fort Lauderdale",34.789,1,100,6,1,1,1,2,2,1,182,2,"D",0,24000,48885,23769,67.28466,12,NA,0,0,0,0,1,34.07300234,31.4618156045124,4866.76823133749,0,0,0.0590632567479771,0.354379540487863,0.0590632567479771,0.118126513495954,1
"467","1224125","Fort Myers city, Florida",62205,27.7,18419,43.5,1150,"4.2",12965,"41.3",29364,"12.5","25.13534236",12,24125,"Fort Myers",40.175,0,0,1,0,0,0,0,0,0,NA,0,"R",0,24125,12893,9235,58.26555,12,NA,0,0,0,1,0,25.13534236,29.6101599549875,1548.35096453018,0,1,0,0.160758781448437,0,0,0
"470","1224300","Fort Pierce city, Florida",42125,35.9,15868,52.7,164,"0",9077,"35.8",17080,"20.6","14.02108654",12,24300,"Fort Pierce",20.596,0,0,1,0,0,1,1,1,0,183,2,"D",0,24300,7785,2732,74.02301,12,NA,0,0,0,1,0,14.02108654,37.6688427299703,2045.30005826374,0,0,0,0.237388724035608,0,0.237388724035608,0
"475","1224562","Fountainebleau CDP, Florida",53219,15.2,740,6.5,843,"25.3",49236,"14.6",2510,"20.5","26.03604521",12,24562,"Fountainebleau",4.321,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24562,7496,10075,42.6612,12,NA,0,0,0,0,0,26.03604521,1.39048084330784,12316.3619532516,0,0,0,0,0,0,0
"476","1224581","Four Corners CDP, Florida",32123,13.3,3289,4.3,1006,"0.9",10164,"25",16711,"8.7","24.20786388",12,24581,"Four Corners",46.376,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24581,2393,1770,57.48258,12,NA,0,0,0,0,0,24.20786388,10.2387697288547,692.66430912541,0,0,0,0,0,0,0
"480","1224925","Fruit Cove CDP, Florida",30747,4.6,1027,6.2,872,"11.1",1964,"3.1",26197,"4","50.06080259",12,24925,"Fruit Cove",17.055,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24925,3368,9415,26.34749,12,NA,0,0,0,0,0,50.06080259,3.3401632679611,1802.8144239226,0,0,0,0,0,0,0
"486","1225175","Gainesville city, Florida",112696,35.8,27084,40.5,7926,"39.6",11046,"46.5",63942,"31.3","43.65176698",12,25175,"Gainesville",60.134,3,250,2,0,0,1,1,0,0,185,3,"D",0,25175,40958,16299,71.53361,12,324,45000,0,0,0,0,43.65176698,24.0327961950735,1874.08121861177,39.9304323134805,0,0,0.177468588059913,0,0.0887342940299567,1
"501","1226375","Golden Glades CDP, Florida",32965,24.7,23706,26.2,816,"3.9",6539,"24.9",2356,"18.5","14.77537438",12,26375,"Golden Glades",4.807,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,26375,10014,927,91.52728,12,NA,0,0,0,0,0,14.77537438,71.9126346124678,6857.70750988142,0,0,0,0,0,0,0
"512","1227322","Greenacres city, Florida",38381,18.7,6769,18.1,1219,"52",15704,"24.7",13992,"9.5","18.85906565",12,27322,"Greenacres",5.742,0,0,0,0,0,0,0,0,0,NA,0,"D",0,27322,8043,3911,67.28292,12,NA,0,0,0,0,0,18.85906565,17.6363304760168,6684.25635667015,0,0,0,0,0,0,0
"529","1228452","Hallandale Beach city, Florida",38199,21.3,7317,40.7,662,"30.2",12316,"22",17815,"13.9","29.1027863",12,28452,"Hallandale Beach",4.21,0,0,1,1,1,0,1,0,0,190,1,"D",0,28452,8382,4279,66.2033,12,NA,0,0,0,0,0,29.1027863,19.1549517003063,9073.39667458432,0,0,0.261786957773764,0.261786957773764,0.261786957773764,0.261786957773764,0
"544","1230000","Hialeah city, Florida",231003,25.8,5309,44.7,752,"21.4",221326,"25.9",7866,"22.6","13.21099821",12,30000,"Hialeah",21.316,0,0,3,1,1,0,1,1,0,NA,0,"R",0,30000,20706,37787,35.39911,12,NA,0,0,0,0,0,13.21099821,2.29823855101449,10837.0707449803,0,1,0.0432894810889902,0.129868443266971,0.0432894810889902,0.0432894810889902,0
"563","1232000","Hollywood city, Florida",143929,16,24655,23.2,3777,"10.5",45196,"17.1",67677,"12.7","26.89408926",12,32000,"Hollywood",27.341,0,0,2,0,0,0,0,1,0,193,2,"R",0,32000,35704,16983,67.76624,12,NA,0,0,0,0,0,26.89408926,17.1299738065296,5264.21857283933,0,1,0,0.13895740260823,0,0,0
"567","1232275","Homestead city, Florida",63071,31.6,12226,35.9,1265,"5.1",37631,"36.1",12468,"16.8","15.77148308",12,32275,"Homestead",14.733,0,0,0,0,0,0,0,2,0,NA,0,"D",0,32275,7283,3692,66.35991,12,NA,0,0,0,1,0,15.77148308,19.3845031789571,4280.93395778185,0,0,0,0,0,0,0
"604","1235000","Jacksonville city, Florida",818636,17.8,249884,28.8,36151,"12.5",67982,"20.9",443077,"11.7","25.70120227",12,35000,"Jacksonville",746.987,4,170,11,1,1,5,6,5,2,195,13,"R",0,35000,186447,189137,49.64189,12,328,34000,1,1,0,1,25.70120227,30.5244333256783,1095.91733189466,4.15325004031096,1,0.0122154412950322,0.134369854245354,0.0122154412950322,0.0732926477701933,1
"616","1235875","Jupiter town, Florida",57194,8.5,554,26.4,1668,"7",7098,"19.2",47092,"6.2","44.09899494",12,35875,"Jupiter",21.443,0,0,0,0,0,0,0,0,0,NA,0,"R",0,35875,12018,12875,48.27863,12,NA,0,0,0,0,0,44.09899494,0.968633073399308,2667.25738003078,0,1,0,0,0,0,0
"621","1236062","Kendale Lakes CDP, Florida",58574,14.8,1707,17,1124,"14",51499,"15.4",5193,"7.6","24.37643854",12,36062,"Kendale Lakes",8.108,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36062,8789,12613,41.06626,12,NA,0,0,0,0,0,24.37643854,2.91426230067948,7224.22298963986,0,0,0,0,0,0,0
"622","1236100","Kendall CDP, Florida",78287,9.8,3175,31.1,3188,"12.1",49371,"9.9",21825,"5.6","44.86460244",12,36100,"Kendall",16.032,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,36100,17458,16355,51.63103,12,NA,0,0,0,0,0,44.86460244,4.05559032789608,4883.17115768463,0,0,0,0.127735128437672,0,0,0
"623","1236121","Kendall West CDP, Florida",38665,16.3,979,20.9,509,"6.1",34314,"16.6",3027,"13.3","26.8715524",12,36121,"Kendall West",2.75,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,36121,5100,5579,47.75728,12,NA,0,0,0,0,0,26.8715524,2.53200568990043,14060,0,0,0,0,0,0,0
"635","1236950","Kissimmee city, Florida",62910,24.8,7749,30.6,1790,"12.9",39130,"28.6",15366,"15.2","14.71378127",12,36950,"Kissimmee",21.413,0,0,0,0,0,0,0,0,0,NA,0,"R",0,36950,12944,5610,69.76393,12,NA,0,0,0,0,0,14.71378127,12.3175965665236,2937.9348993602,0,1,0,0,0,0,0
"653","1238250","Lakeland city, Florida",96045,19.3,19367,33,1616,"4",13828,"28.6",59603,"12.7","24.91832894",12,38250,"Lakeland",65.228,0,0,2,0,0,0,0,2,0,199,2,"R",0,38250,19433,19562,49.83459,12,330,2500,0,0,0,0,24.91832894,20.1645062210422,1472.45048138836,2.60294653547816,1,0,0.208235722838253,0,0,0
"668","1238813","Lakeside CDP, Florida",31387,10.7,2813,10.5,903,"24.5",3164,"17.4",23622,"9.3","23.80115848",12,38813,"Lakeside",15.373,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,38813,4491,11171,28.6745,12,NA,0,0,0,0,0,23.80115848,8.96230923630803,2041.69648084304,0,0,0,0,0,0,0
"671","1239075","Lake Worth city, Florida",35311,28.7,7123,41.1,317,"12.6",14609,"33.4",13114,"17.9","19.62956626",12,39075,"Lake Worth",5.84,0,0,1,0,0,0,0,0,0,NA,0,"R",0,39075,6369,2492,71.87676,12,NA,0,0,0,1,0,19.62956626,20.172184305174,6046.40410958904,0,1,0,0.283197870352015,0,0,0
"673","1239200","Land O' Lakes CDP, Florida",32741,6.6,2006,2.8,600,"2.2",6223,"4.3",23319,"7.4","32.96790384",12,39200,"Land O' Lakes",19.037,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,39200,5262,7088,42.60729,12,NA,0,0,0,0,0,32.96790384,6.12687456094805,1719.8613226874,0,0,0,0,0,0,0
"675","1239425","Largo city, Florida",77166,15.9,4837,27.5,1820,"8.7",9827,"28.3",59108,"13","20.21512662",12,39425,"Largo",17.527,0,0,0,0,0,0,0,0,0,202,1,"D",0,39425,16633,13582,55.04882,12,NA,0,0,0,0,0,20.21512662,6.26830469377705,4402.69298796143,0,0,0,0,0,0,0
"677","1239525","Lauderdale Lakes city, Florida",33066,23.8,27508,23.1,673,"49.2",2218,"24.3",2771,"19.7","13.15213426",12,39525,"Lauderdale Lakes",3.681,0,0,0,0,0,0,0,0,0,NA,0,"D",1,39525,10456,661,94.05415,12,NA,0,0,0,0,0,13.15213426,83.1911933708341,8982.88508557457,0,0,0,0,0,0,0
"678","1239550","Lauderhill city, Florida",68790,24,53596,25.6,1373,"23.4",5935,"22.1",7638,"15.6","18.93924045",12,39550,"Lauderhill",8.575,0,0,1,0,0,1,1,1,0,NA,0,"D",0,39550,24115,2130,91.88417,12,NA,0,0,0,0,0,18.93924045,77.9124872801279,8022.15743440233,0,0,0,0.145369966564908,0,0.145369966564908,0
"688","1239925","Lehigh Acres CDP, Florida",106270,21.7,22428,23,1312,"24.2",38298,"28.5",43194,"14.5","12.8668275",12,39925,"Lehigh Acres",92.437,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,39925,9094,6996,56.51958,12,NA,0,0,0,0,0,12.8668275,21.1047332266867,1149.64786827785,0,0,0,0,0,0,0
"725","1243125","Margate city, Florida",54846,13.8,14376,14.9,2429,"12.2",12198,"13.2",24567,"13.2","20.56196362",12,43125,"Margate",8.844,0,0,0,0,0,0,0,0,0,NA,0,"D",0,43125,14540,7138,67.07261,12,NA,0,0,0,0,0,20.56196362,26.2115742260147,6201.49253731343,0,0,0,0,0,0,0
"738","1243975","Melbourne city, Florida",75036,15.8,7631,30.7,1747,"35.7",6171,"17.4",57134,"12.9","24.67142728",12,43975,"Melbourne",33.76,0,0,1,0,0,0,0,1,0,NA,0,"R",0,43975,16508,18182,47.5872,12,NA,0,0,0,0,0,24.67142728,10.1697851697852,2222.63033175355,0,1,0,0.133269364038595,0,0,0
"742","1244275","Merritt Island CDP, Florida",34646,13.6,1848,39.3,763,"14.3",2499,"15.3",28588,"11.6","32.65069103",12,44275,"Merritt Island",17.419,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,44275,7821,12063,39.33313,12,NA,0,0,0,0,0,32.65069103,5.33394908503146,1988.97755324646,0,0,0,0.288633608497373,0,0,0
"745","1245000","Miami city, Florida",408781,29.9,78753,44.4,3662,"16.6",290886,"28.8",45211,"14.6","23.82929828",12,45000,"Miami",35.924,4,450,16,3,0,2,2,5,0,208,3,"R",0,45000,67685,43725,60.75307,12,336,30000,0,0,1,0,23.82929828,19.2653278895056,11379.050217125,7.3388929524611,1,0.073388929524611,0.391407624131259,0,0.0489259530164073,1
"746","1245025","Miami Beach city, Florida",89624,17.5,4159,29.3,1664,"10.9",48227,"21.7",34985,"11.9","43.47385691",12,45025,"Miami Beach",7.589,0,0,1,1,0,0,0,1,0,NA,0,"D",0,45025,13998,7143,66.21257,12,NA,0,0,0,1,0,43.47385691,4.6404980808712,11809.7246013968,0,0,0.111577256092118,0.111577256092118,0,0,0
"747","1245060","Miami Gardens city, Florida",109418,22.6,83338,21.9,807,"20.2",26620,"24.6",2248,"17","14.59008346",12,45060,"Miami Gardens",18.238,0,0,1,0,0,1,1,1,0,NA,0,"D",1,45060,42406,2188,95.09351,12,NA,0,0,0,0,0,14.59008346,76.1647992103676,5999.45169426472,0,0,0,0.0913926410645415,0,0.0913926410645415,0
"748","1245100","Miami Lakes town, Florida",30325,11.4,954,1.4,528,"16.9",24856,"12.7",4052,"5.3","31.82662539",12,45100,"Miami Lakes",5.792,0,0,0,0,0,0,0,0,0,NA,0,"R",0,45100,4412,8340,34.59849,12,NA,0,0,0,0,0,31.82662539,3.14591920857378,5235.66988950276,0,1,0,0,0,0,0
"761","1245975","Miramar city, Florida",128206,9.3,58407,10.9,7723,"2.4",47281,"8.9",13312,"8.6","31.01397235",12,45975,"Miramar",29.521,0,0,1,0,0,0,0,0,0,NA,0,"D",1,45975,34599,9588,78.30131,12,NA,0,0,0,0,0,31.01397235,45.5571502113786,4342.87456386979,0,0,0,0.0779994696036067,0,0,0
"785","1248050","Navarre CDP, Florida",32333,10.4,1985,10.3,721,"3.6",1947,"20.3",25785,"9.9","31.10366292",NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,NA,0,NA,NA,48050,4053,10309,28.2203,12,NA,0,0,0,0,0,31.10366292,6.13923854885102,NA,0,0,0,0.309281538984938,0,0,0
"803","1249350","North Fort Myers CDP, Florida",38917,12.6,838,40,241,"0",2302,"30.6",35121,"10.6","18.41599385",12,49350,"North Fort Myers",49.209,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,49350,6078,8263,42.38198,12,NA,0,0,0,0,0,18.41599385,2.1533006141275,790.851267044646,0,0,0,0,0,0,0
"805","1249425","North Lauderdale city, Florida",42228,21.7,23225,24.2,1610,"4.1",10332,"27.9",6762,"8.4","13.53310213",12,49425,"North Lauderdale",4.59,0,0,0,0,0,0,0,0,0,NA,0,"D",0,49425,9942,1880,84.09745,12,NA,0,0,0,0,0,13.53310213,54.9990527612011,9200,0,0,0,0,0,0,0
"806","1249450","North Miami city, Florida",59292,26.2,35279,30,1305,"11.7",15897,"23.1",7243,"16.8","19.60004161",12,49450,"North Miami",8.375,0,0,0,0,0,0,0,0,0,NA,0,"D",1,49450,15627,2502,86.19891,12,NA,0,0,0,1,0,19.60004161,59.5004385077245,7079.64179104478,0,0,0,0,0,0,0
"807","1249475","North Miami Beach city, Florida",42791,22.8,19282,27.9,1491,"21.2",14169,"22.1",8842,"11.8","20.12413793",12,49475,"North Miami Beach",4.778,0,0,0,0,0,0,0,1,0,NA,0,"R",0,49475,10336,2749,78.99121,12,NA,0,0,0,0,0,20.12413793,45.06087728728,8955.83926329008,0,1,0,0,0,0,0
